"PointID","x","y","Pressure","Velocity_x","Velocity_y"
0, -1.000000000000000e+01, -6.000000000000000e+00, 4.638004043534982e-03, 1.000344588729251e+00, 0.000000000000000e+00
1, -1.000000000000000e+01, -5.692307692307692e+00, 4.833741627134904e-03, 1.000347362871397e+00, -3.069761903401751e-05
2, -1.000000000000000e+01, -5.384615384615384e+00, 4.852758331549191e-03, 1.000377887129851e+00, 8.725297054178875e-06
3, -1.000000000000000e+01, -5.076923076923077e+00, 4.902939088271003e-03, 1.000371690009039e+00, -4.600004061249407e-06
4, -1.000000000000000e+01, -4.769230769230770e+00, 4.714375744733910e-03, 1.000384425880457e+00, -1.247281813561429e-05
5, -1.000000000000000e+01, -4.461538461538462e+00, 4.681791957093976e-03, 1.000377502133972e+00, -7.098752242018438e-07
6, -1.000000000000000e+01, -4.153846153846153e+00, 4.589207918856996e-03, 1.000373602693693e+00, -1.186093718086933e-05
7, -1.000000000000000e+01, -3.846153846153846e+00, 4.462713230798932e-03, 1.000370865576188e+00, 7.799291521683369e-06
8, -1.000000000000000e+01, -3.538461538461538e+00, 4.450557039744530e-03, 1.000359021944769e+00, -1.009138293796120e-05
9, -1.000000000000000e+01, -3.230769230769231e+00, 4.257407960344608e-03, 1.000358168662673e+00, -9.347394661538265e-06
10, -1.000000000000000e+01, -2.923076923076923e+00, 4.024424283560991e-03, 1.000343596312535e+00, -7.435995312425143e-06
11, -1.000000000000000e+01, -2.615384615384614e+00, 3.979855466993521e-03, 1.000360500788094e+00, -1.896970768705756e-05
12, -1.000000000000000e+01, -2.307692307692307e+00, 3.789143925697247e-03, 1.000337055282907e+00, 8.289916997958180e-06
13, -1.000000000000000e+01, -2.000000000000000e+00, 3.734567192560775e-03, 1.000329734618883e+00, -8.476039636160790e-06
14, -1.000000000000000e+01, -1.692307692307692e+00, 3.418322040035163e-03, 1.000332860557988e+00, -3.870671308691402e-06
15, -1.000000000000000e+01, -1.384615384615385e+00, 3.230478947506982e-03, 1.000320580400616e+00, -6.509191255137998e-06
16, -1.000000000000000e+01, -1.076923076923076e+00, 3.055740159509926e-03, 1.000306440854166e+00, -3.831413610036226e-06
17, -1.000000000000000e+01, -7.692307692307692e-01, 2.771429920454194e-03, 1.000299877551033e+00, -1.410313863518000e-05
18, -1.000000000000000e+01, -4.615384615384621e-01, 2.687667747603174e-03, 1.000306566096976e+00, -2.071993831407123e-05
19, -1.000000000000000e+01, -1.538461538461533e-01, 2.333524782293016e-03, 1.000286901327005e+00, 1.680172968145199e-06
20, -1.000000000000000e+01, 1.538461538461551e-01, 2.247821049968604e-03, 1.000273556435702e+00, -3.521179999326121e-06
21, -1.000000000000000e+01, 4.615384615384617e-01, 1.928282446729675e-03, 1.000268855956092e+00, -1.722867603096233e-05
22, -1.000000000000000e+01, 7.692307692307701e-01, 1.710893593844087e-03, 1.000262065563473e+00, -2.010160536391417e-05
23, -1.000000000000000e+01, 1.076923076923077e+00, 1.539078002483207e-03, 1.000249783838390e+00, -1.147284416450330e-05
24, -1.000000000000000e+01, 1.384615384615385e+00, 1.309487741093747e-03, 1.000245061386253e+00, -1.331641469775142e-05
25, -1.000000000000000e+01, 1.692307692307693e+00, 1.089505640781430e-03, 1.000235155193545e+00, -1.374647641081169e-06
26, -1.000000000000000e+01, 2.000000000000000e+00, 9.331424998618669e-04, 1.000237227558702e+00, -1.391296141953276e-05
27, -1.000000000000000e+01, 2.307692307692308e+00, 7.249380245108997e-04, 1.000225797156286e+00, -5.271653860155208e-06
28, -1.000000000000000e+01, 2.615384615384617e+00, 5.377601733299300e-04, 1.000219964526287e+00, -1.344475624995967e-05
29, -1.000000000000000e+01, 2.923076923076923e+00, 4.077357497923153e-04, 1.000217756178895e+00, -1.190415053248059e-05
30, -1.000000000000000e+01, 3.230769230769232e+00, 1.958202184770484e-04, 1.000208195063988e+00, 4.584356321771961e-07
31, -1.000000000000000e+01, 3.538461538461538e+00, 8.685582234448758e-05, 1.000201211548956e+00, -4.941873518573064e-06
32, -1.000000000000000e+01, 3.846153846153847e+00, -5.050900465253727e-06, 1.000202954002201e+00, -8.086767769809272e-06
33, -1.000000000000000e+01, 4.153846153846155e+00, -1.528570187116146e-04, 1.000196603505564e+00, -4.746613970296600e-06
34, -1.000000000000000e+01, 4.461538461538462e+00, -2.001383151702975e-04, 1.000192824080802e+00, -9.274858726520334e-06
35, -1.000000000000000e+01, 4.769230769230770e+00, -3.452647872290250e-04, 1.000192844388773e+00, 1.011881440291999e-06
36, -1.000000000000000e+01, 5.076923076923077e+00, -3.882306335202348e-04, 1.000183352978828e+00, -4.917528004724064e-06
37, -1.000000000000000e+01, 5.384615384615385e+00, -4.098585599547131e-04, 1.000177878537298e+00, -4.936148589417333e-06
38, -1.000000000000000e+01, 5.692307692307693e+00, -4.459059154026326e-04, 1.000178813014871e+00, 5.663013110652609e-06
39, -1.000000000000000e+01, 6.000000000000000e+00, -5.056971285946853e-04, 1.000190139277462e+00, 0.000000000000000e+00
40, -9.591836734693878e+00, 5.999999999999999e+00, -5.759677523580599e-04, 1.000242787092160e+00, 0.000000000000000e+00
41, -9.183673469387756e+00, 6.000000000000000e+00, -6.183074637034824e-04, 1.000270847023689e+00, 0.000000000000000e+00
42, -8.775510204081634e+00, 6.000000000000000e+00, -6.224583711026449e-04, 1.000362602699414e+00, 0.000000000000000e+00
43, -8.367346938775512e+00, 6.000000000000000e+00, -8.583658549823950e-04, 1.000506081712371e+00, 0.000000000000000e+00
44, -7.959183673469387e+00, 6.000000000000000e+00, -9.459529478186426e-04, 1.000645996234278e+00, 0.000000000000000e+00
45, -7.551020408163264e+00, 6.000000000000000e+00, -1.101792986158939e-03, 1.000853197560566e+00, 0.000000000000000e+00
46, -7.142857142857144e+00, 6.000000000000000e+00, -1.408353772740404e-03, 1.001126342619696e+00, 0.000000000000000e+00
47, -6.734693877551020e+00, 6.000000000000001e+00, -1.633568689771971e-03, 1.001361835910866e+00, 0.000000000000000e+00
48, -6.326530612244898e+00, 6.000000000000000e+00, -1.908282353977323e-03, 1.001687050900159e+00, 0.000000000000000e+00
49, -5.918367346938776e+00, 6.000000000000000e+00, -2.316909832703230e-03, 1.002137589457458e+00, 0.000000000000000e+00
50, -5.510204081632653e+00, 6.000000000000000e+00, -2.686491450261164e-03, 1.002473145695983e+00, 0.000000000000000e+00
51, -5.102040816326530e+00, 6.000000000000000e+00, -3.116701778163983e-03, 1.002944744857174e+00, 0.000000000000000e+00
52, -4.693877551020408e+00, 6.000000000000000e+00, -3.527766318781983e-03, 1.003498046698651e+00, 0.000000000000000e+00
53, -4.285714285714286e+00, 6.000000000000000e+00, -4.145297328272114e-03, 1.004062259125674e+00, 0.000000000000000e+00
54, -3.877551020408163e+00, 6.000000000000000e+00, -4.622089079585820e-03, 1.004713613024282e+00, 0.000000000000000e+00
55, -3.469387755102041e+00, 6.000000000000000e+00, -5.328821619376715e-03, 1.005440061880672e+00, 0.000000000000000e+00
56, -3.061224489795919e+00, 6.000000000000000e+00, -5.878233048337392e-03, 1.006056082762646e+00, 0.000000000000000e+00
57, -2.653061224489796e+00, 6.000000000000000e+00, -6.521684074992234e-03, 1.006681720315562e+00, 0.000000000000000e+00
58, -2.244897959183674e+00, 6.000000000000000e+00, -7.215105738789037e-03, 1.007390138223984e+00, 0.000000000000000e+00
59, -1.836734693877551e+00, 6.000000000000000e+00, -7.983243148447549e-03, 1.008031082837643e+00, 0.000000000000000e+00
60, -1.428571428571428e+00, 6.000000000000000e+00, -8.434813904330768e-03, 1.008753466923181e+00, 0.000000000000000e+00
61, -1.020408163265305e+00, 6.000000000000000e+00, -8.942170193904590e-03, 1.009409266015300e+00, 0.000000000000000e+00
62, -6.122448979591830e-01, 6.000000000000000e+00, -9.448336239415597e-03, 1.009684928688123e+00, 0.000000000000000e+00
63, -2.040816326530610e-01, 6.000000000000000e+00, -9.784839779160105e-03, 1.010188547262061e+00, 0.000000000000000e+00
64, 2.040816326530610e-01, 6.000000000000000e+00, -9.845553261303494e-03, 1.010215823259011e+00, 0.000000000000000e+00
65, 6.122448979591830e-01, 6.000000000000000e+00, -1.013543402374000e-02, 1.010336004882768e+00, 0.000000000000000e+00
66, 1.020408163265307e+00, 6.000000000000000e+00, -9.788493682076904e-03, 1.010198594997947e+00, 0.000000000000000e+00
67, 1.428571428571427e+00, 6.000000000000000e+00, -9.693065131510855e-03, 1.009974468450396e+00, 0.000000000000000e+00
68, 1.836734693877551e+00, 6.000000000000000e+00, -9.073814876368354e-03, 1.009599459001739e+00, 0.000000000000000e+00
69, 2.244897959183674e+00, 6.000000000000000e+00, -8.921060867167903e-03, 1.008872760543825e+00, 0.000000000000000e+00
70, 2.653061224489797e+00, 6.000000000000000e+00, -8.031737801512459e-03, 1.008532690691719e+00, 0.000000000000000e+00
71, 3.061224489795919e+00, 6.000000000000000e+00, -7.401278498123226e-03, 1.007490761022024e+00, 0.000000000000000e+00
72, 3.469387755102041e+00, 6.000000000000000e+00, -7.313052715346656e-03, 1.006980675628493e+00, 0.000000000000000e+00
73, 3.877551020408163e+00, 6.000000000000000e+00, -6.345495125081777e-03, 1.006266284670253e+00, 0.000000000000000e+00
74, 4.285714285714286e+00, 6.000000000000000e+00, -5.971673939375884e-03, 1.005445551530656e+00, 0.000000000000000e+00
75, 4.693877551020408e+00, 6.000000000000000e+00, -5.133176736037297e-03, 1.004776175326101e+00, 0.000000000000000e+00
